,User,Date Created,Number of Likes,Source of Tweet,Tweet,Follower Count,Date,Created
275,AlArabiya_Eng,2023-01-05 22:00:00+00:00,0,Sprinklr,"#MukeshAmbani, the billionaire chairman of #RelianceIndustries, will be focusing his attention on the Indian conglomerate’s pivot to #greenenergy, after putting his children in charge of other businesses. 

https://t.co/kwqBD5MwNt",924899,1/5/2023,22:00:00+00:00
276,Skywaaaalker,2023-01-05 20:41:42+00:00,1,Twitter for iPhone,#Germany #increases #renewables #reliance in 2022 - reNews - Renewable Energy News https://t.co/yGizEqIApk,1194,1/5/2023,20:41:42+00:00
277,Raj_Ranga2002,2023-01-05 19:14:55+00:00,4,Twitter for Android,"#Reliance 2514 -&gt; 2575-&gt; 2611 
Negates -&gt; 2475 -&lt; DCB 

#Nifty #Motabhai #Reliance #NiftyFuture",2015,1/5/2023,19:14:55+00:00
278,asison80,2023-01-05 18:56:49+00:00,2,LinkedIn,"Neden Elektrikli forklift üretmeliyim ?

#Manufacturingindustry #Electricvehicles #Ev #Lev #Production #Micromobilite #Shipping #Logistics #Future #Cargo #Transport #Automotive #Automotiveindustry #Quality #Project #Engineering #Greenenergy #Reliance #For…https://t.co/TOS0UohAgK",181,1/5/2023,18:56:49+00:00
279,Niku_21,2023-01-05 18:29:07+00:00,2,Twitter for Android,"@iHrithik Remember this .?? 

""Glimpse of me trying his hooksteps""
I still remember I watched every ad in which  Hrithik's dance moves we're featured.!
#flashback #hrithikroshan  
#Reliance #dancewithhrithikroshan 
 @RelianceMobile @HrithikInspires @HrithikRules @ZoneHrithik https://t.co/JVQmvxgX4c",72,1/5/2023,18:29:07+00:00
280,kamisama_kotoba,2023-01-05 18:03:33+00:00,0,twittbot.net,"#reliance
https://t.co/hMT8ZldseL",5746,1/5/2023,18:03:33+00:00
281,itradebrains,2023-01-05 17:30:16+00:00,1,Twitter Web App,"Nifty Levels &amp; Strategy for 05/01/2023

#nifty #nifty50 #zerodha #hdfcbank #Reliance #ICICIBank #ICICI #sbin #KotakMahindraBank #Infosys #WIPRO #LTIMindtree #KOTAKBANK #BANKBARODA #adaniports #ADANIENT #SunPharma #DIVISLAB #reliancejio #banknifty #NIFTYIT #NIFTYFUTURE #NiftyBank https://t.co/HkJ2Ng92GN",414,1/5/2023,17:30:16+00:00
282,itradebrains,2023-01-05 17:27:20+00:00,0,Twitter Web App,"FII Cash &amp; Derivative Statistics Dated 05/01/2023

#nifty50 #niftyfinance #OptionsTrading #optiontrading #optionkipathshala #OptionChain #optiontrading #optionbuying #niftyoptions #Niftyfutures #NIFTYIT #nifty #zerodha #hdfcbank #Reliance #ICICIBank #ICICI #sbin #hdfcbank #kotak https://t.co/7oCkTz73r4",414,1/5/2023,17:27:20+00:00
283,shivadvaita,2023-01-05 17:23:36+00:00,2,Twitter for Android,"₹ will close arround ₹90/1$ in December 2023. #Xinvest

#USDINR #Gold #Silver #Bitcoin #forexsignal #HPCL #BPCL #IOC #Reliance #Infosys #TCS #inflation",0,1/5/2023,17:23:36+00:00
284,itradebrains,2023-01-05 17:16:07+00:00,0,Twitter Web App,"Nifty Walls - Top 5 Call Max OI Strikes Vs Top 5 Put Max OI Strikes Dated 05/01/2023

#nifty50 #zerodha #hdfcbank #Reliance #ICICIBank #ICICI #sbin #Infosys #WIPRO #LTIMindtree #KOTAKBANK #BANKBARODA #ADANIENT #SunPharma #NIFTYIT #NIFTYFUTURE #OptionsTrading #optionselling https://t.co/tz2gB3qmlj",414,1/5/2023,17:16:07+00:00
285,bqprime,2023-01-05 17:15:30+00:00,12,TweetDeck,"#RelianceIndustries' Chairman #MukeshAmbani will be focusing his attention on the Indian conglomerate’s pivot to #greenenergy. 

https://t.co/72HJxmJFs9",295178,1/5/2023,17:15:30+00:00
286,itradebrains,2023-01-05 17:14:36+00:00,2,Twitter Web App,"Nifty Scorecard Dated 05/01/2023

#nifty50 #zerodha #hdfcbank #Reliance #ICICIBank #ICICI #sbin #KotakMahindraBank #Infosys #WIPRO #LTIMindtree #KOTAKBANK #BANKBARODA #adaniports #ADANIENT #SunPharma #DIVISLAB #tvsmotor #reliancejio #banknifty #NIFTYIT #NIFTYFUTURE #NiftyBank https://t.co/wJaeh9MUgD",414,1/5/2023,17:14:36+00:00
287,niveyshak,2023-01-05 16:37:37+00:00,8,Twitter Web App,#Reliance  Rating Update https://t.co/cl7QHV3FYY,9574,1/5/2023,16:37:37+00:00
288,rahuldewasi___,2023-01-05 16:06:43+00:00,7,Twitter for Android,"उत्तर प्रदेश के सीएम योगी आदित्यनाथ ने मुंबई के ताज होटल में रिलायंस इंडस्ट्रीज के चेयरमैन और प्रबंधक निदेशक मुकेश अंबानी से की मुलाकात।
#CMYogi #MukeshAmbani #Reliance @myogiadityanath https://t.co/WpJNYdP7oB",701,1/5/2023,16:06:43+00:00
289,Jay43makwana,2023-01-05 16:02:01+00:00,1,Twitter Web App,#Reliance https://t.co/QsUJbv9DpJ,51,1/5/2023,16:02:01+00:00
290,AvtarSghMatharu,2023-01-05 15:56:20+00:00,2,Twitter for Android,"@TA_Purvesh @TA_Purvesh sir will #Reliance next move will decide future of #Nifty 

#TeamGarreb https://t.co/qfoX5JfE90",126,1/5/2023,15:56:20+00:00
291,News18Ladakh,2023-01-05 15:53:34+00:00,6,Twitter Web App,"UP CM Yogi Adityanath met Reliance Industries Chairman &amp; MD Mukesh Ambani today at Hotel Taj in Mumbai.
They discussed on UP’s progress as India’s Growth Engine &amp; investment opportunities in the UP
@_MukeshAmbani
@myogiadityanath
#MukeshAmbani #YogiAdityanath #RelianceIndustries https://t.co/xO1CRBRHxy",161,1/5/2023,15:53:34+00:00
292,SonnyAbraham,2023-01-05 15:51:43+00:00,0,Twitter Web App,Hamdard Food Park Cluster to come up in Reliance Model Economic Township at Jhajjar https://t.co/WIdkAnWjoT #Reliance #ModelEconomicTownship #Jhajjar #Haryana #Hamdard #FoodParkCluster @netindian,62,1/5/2023,15:51:43+00:00
293,News18Jammu,2023-01-05 15:51:20+00:00,8,Twitter Web App,"उत्तर प्रदेश के CM योगी आदित्यनाथ ने आज मुंबई के होटल ताज में रिलायंस इंडस्ट्रीज के चेयरमैन व MD मुकेश अंबानी से की मुलाकात 
भारत के ग्रोथ इंजन के रूप में यूपी की प्रगति और राज्य में निवेश के अवसरों पर की गई चर्चा...

#MukeshAmbani #YogiAdityanath #RelianceIndustries #TajPalace https://t.co/VUl1DIeiOD",6398,1/5/2023,15:51:20+00:00
294,market_advi,2023-01-05 15:50:49+00:00,1,Twitter Web App,Reliance and HDFC Bank Levels for Friday 6.01.2023. Let's see what happens.😎✌️#reliance #hdfcbank https://t.co/150nnavzXZ,51,1/5/2023,15:50:49+00:00
295,News18Himachal,2023-01-05 15:50:45+00:00,2,Twitter Web App,"उत्तर प्रदेश के CM योगी आदित्यनाथ ने आज मुंबई के होटल ताज में रिलायंस इंडस्ट्रीज के चेयरमैन व MD मुकेश अंबानी से की मुलाकात 
भारत के ग्रोथ इंजन के रूप में यूपी की प्रगति और राज्य में निवेश के अवसरों पर की गई चर्चा...
#MukeshAmbani #YogiAdityanath #RelianceIndustries #TajPalace https://t.co/yjuF6RodBs",17454,1/5/2023,15:50:45+00:00
296,News18Kashmir,2023-01-05 15:48:04+00:00,3,Twitter Web App,"UP CM Yogi Adityanath met Reliance Industries Chairman &amp; MD Mukesh Ambani today at Hotel Taj in Mumbai.
They discussed on UP’s progress as India’s Growth Engine &amp; investment opportunities in UP...

@reliancegroup
@myogiadityanath
#MukeshAmbani #YogiAdityanath #RelianceIndustries https://t.co/UJc7Btb81A",10291,1/5/2023,15:48:04+00:00
297,itssankar,2023-01-05 15:44:21+00:00,0,Twitter for iPhone,"#JioCinema #reliance Dear Jio cinema how many times we have to start same movie from beginning??it’s quite irritating, hope you know that",27,1/5/2023,15:44:21+00:00
298,FIROJKHAN_23,2023-01-05 15:37:39+00:00,0,Twitter for Android,"Very bad Network Last 3 week and not listen by any one for solutions 

So I suggest other don't by jio because he want only customer but he does not keep customers happy

#RelianceJio
#Reliance",4,1/5/2023,15:37:39+00:00
